Ref,Val,Package,PosX,PosY,Rot,Side
"C128","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",151.000000,47.000000,0.000000,top
"C129","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",155.000000,53.500000,0.000000,top
"C130","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",155.000000,59.500000,0.000000,top
"C131","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",151.000000,60.500000,0.000000,top
"C132","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",155.000000,61.500000,0.000000,top
"C133","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",151.000000,62.500000,0.000000,top
"C134","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",148.000000,60.500000,180.000000,top
"C135","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",136.600000,37.500000,90.000000,top
"C136","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",148.000000,62.500000,180.000000,top
"C137","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",155.000000,57.500000,0.000000,top
"C138","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",155.000000,55.500000,0.000000,top
"C139","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",143.000000,37.500000,270.000000,top
"C140","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",139.500000,45.000000,180.000000,top
"C141","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",155.000000,39.500000,0.000000,top
"C142","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",139.500000,51.000000,0.000000,top
"C143","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",155.000000,45.500000,180.000000,top
"C144","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",144.000000,47.000000,0.000000,top
"C145","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",144.000000,49.000000,0.000000,top
"C146","C0603C209C5GACTU","KEMET-C0603C-CF-0-0-MFG",137.400000,64.000000,180.000000,top
"C147","C0603C209C5GACTU","KEMET-C0603C-CF-0-0-MFG",155.000000,66.500000,0.000000,top
"C148","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",146.250000,65.500000,0.000000,top
"C149","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",149.000000,65.500000,0.000000,top
"C150","CC0603KRX7R9BB181","YAGEO-CC0603-0-0-0",143.500000,66.000000,90.000000,top
"C151","CC0805ZKY5V6BB106","YAGEO-CC0805-0-0-0",130.000000,35.500000,180.000000,top
"C152","CC0603KPX7R9BB104","YAGEO-CC0603-0-0-0",114.500000,43.000000,180.000000,top
"C153","CC0603KPX7R9BB104","YAGEO-CC0603-0-0-0",130.000000,37.500000,0.000000,top
"C154","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",126.000000,49.000000,0.000000,top
"C155","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",130.000000,51.500000,0.000000,top
"C156","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",126.000000,47.000000,0.000000,top
"C157","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",130.000000,53.500000,0.000000,top
"C158","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",130.000000,59.500000,0.000000,top
"C159","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",126.000000,60.500000,0.000000,top
"C160","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",130.000000,61.500000,0.000000,top
"C161","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",126.000000,62.500000,0.000000,top
"C162","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",123.000000,60.500000,180.000000,top
"C163","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",111.600000,37.500000,90.000000,top
"C164","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",123.000000,62.500000,180.000000,top
"C165","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",130.000000,57.500000,0.000000,top
"C166","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",130.000000,55.500000,0.000000,top
"C167","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",118.000000,37.500000,270.000000,top
"C168","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",114.500000,45.000000,180.000000,top
"C169","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",130.000000,39.500000,0.000000,top
"C170","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",114.500000,51.000000,0.000000,top
"C171","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",130.000000,45.500000,180.000000,top
"C172","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",119.000000,47.000000,0.000000,top
"C173","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",119.000000,49.000000,0.000000,top
"C174","C0603C209C5GACTU","KEMET-C0603C-CF-0-0-MFG",112.400000,64.000000,180.000000,top
"C175","C0603C209C5GACTU","KEMET-C0603C-CF-0-0-MFG",130.000000,66.500000,0.000000,top
"C176","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",121.250000,65.500000,0.000000,top
"C177","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",124.000000,65.500000,0.000000,top
"C178","CC0603KRX7R9BB181","YAGEO-CC0603-0-0-0",118.500000,66.000000,90.000000,top
"C179","CC0805ZKY5V6BB106","YAGEO-CC0805-0-0-0",105.000000,35.500000,180.000000,top
"C180","CC0603KPX7R9BB104","YAGEO-CC0603-0-0-0",89.500000,43.000000,180.000000,top
"C181","CC0603KPX7R9BB104","YAGEO-CC0603-0-0-0",105.000000,37.500000,0.000000,top
"C182","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",101.000000,49.000000,0.000000,top
"C183","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",105.000000,51.500000,0.000000,top
"C184","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",101.000000,47.000000,0.000000,top
"C185","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",105.000000,53.500000,0.000000,top
"C186","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",105.000000,59.500000,0.000000,top
"C187","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",101.000000,60.500000,0.000000,top
"C188","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",105.000000,61.500000,0.000000,top
"C189","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",101.000000,62.500000,0.000000,top
"C190","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",98.000000,60.500000,180.000000,top
"C191","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",86.600000,37.500000,90.000000,top
"C192","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",98.000000,62.500000,180.000000,top
"C193","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",105.000000,57.500000,0.000000,top
"C194","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",105.000000,55.500000,0.000000,top
"C195","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",93.000000,37.500000,270.000000,top
"C196","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",89.500000,45.000000,180.000000,top
"C197","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",105.000000,39.500000,0.000000,top
"C198","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",89.500000,51.000000,0.000000,top
"C199","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",105.000000,45.500000,180.000000,top
"C200","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",94.000000,47.000000,0.000000,top
"C201","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",94.000000,49.000000,0.000000,top
"C202","C0603C209C5GACTU","KEMET-C0603C-CF-0-0-MFG",87.400000,64.000000,180.000000,top
"C203","C0603C209C5GACTU","KEMET-C0603C-CF-0-0-MFG",105.000000,66.500000,0.000000,top
"C204","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",96.250000,65.500000,0.000000,top
"C205","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",99.000000,65.500000,0.000000,top
"C206","CC0603KRX7R9BB181","YAGEO-CC0603-0-0-0",93.500000,66.000000,90.000000,top
"C207","CC0805ZKY5V6BB106","YAGEO-CC0805-0-0-0",80.000000,35.500000,180.000000,top
"C208","CC0603KPX7R9BB104","YAGEO-CC0603-0-0-0",64.500000,43.000000,180.000000,top
"C209","CC0603KPX7R9BB104","YAGEO-CC0603-0-0-0",80.000000,37.500000,0.000000,top
"C210","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",76.000000,49.000000,0.000000,top
"C211","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",80.000000,51.500000,0.000000,top
"C212","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",76.000000,47.000000,0.000000,top
"C213","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",80.000000,53.500000,0.000000,top
"C214","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",80.000000,59.500000,0.000000,top
"C215","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",76.000000,60.500000,0.000000,top
