Ref,Val,Package,PosX,PosY,Rot,Side
"D30","LTST-C190TBKT","Vishay_Lite-On-LTST-C190TBKT-Manufacturer_Recommended",172.500000,28.000000,180.000000,top
"D31","BAS40-7-F","Diodes_Inc.-SOT23-01_2017-0-MFG",139.500000,53.500000,270.000000,top
"D32","BAS40-7-F","Diodes_Inc.-SOT23-01_2017-0-MFG",155.000000,48.000000,270.000000,top
"D33","LTST-C190KSKT","Lite-On-LTST-C190KSKT-MFG",139.500000,59.500000,0.000000,top
"D34","LTST-C190KRKT","Lite-On-LTST-C190KRKT-MFG",147.500000,34.000000,0.000000,top
"D35","LTST-C190KGKT","Lite-On-LTST-C190KGKT-MFG",147.500000,31.000000,0.000000,top
"D36","LTST-C190TBKT","Vishay_Lite-On-LTST-C190TBKT-Manufacturer_Recommended",147.500000,28.000000,180.000000,top
"D37","BAS40-7-F","Diodes_Inc.-SOT23-01_2017-0-MFG",114.500000,53.500000,270.000000,top
"D38","BAS40-7-F","Diodes_Inc.-SOT23-01_2017-0-MFG",130.000000,48.000000,270.000000,top
"D39","LTST-C190KSKT","Lite-On-LTST-C190KSKT-MFG",114.500000,59.500000,0.000000,top
"D40","LTST-C190KRKT","Lite-On-LTST-C190KRKT-MFG",122.500000,34.000000,0.000000,top
"D41","LTST-C190KGKT","Lite-On-LTST-C190KGKT-MFG",122.500000,31.000000,0.000000,top
"D42","LTST-C190TBKT","Vishay_Lite-On-LTST-C190TBKT-Manufacturer_Recommended",122.500000,28.000000,180.000000,top
"D43","BAS40-7-F","Diodes_Inc.-SOT23-01_2017-0-MFG",89.500000,53.500000,270.000000,top
"D44","BAS40-7-F","Diodes_Inc.-SOT23-01_2017-0-MFG",105.000000,48.000000,270.000000,top
"D45","LTST-C190KSKT","Lite-On-LTST-C190KSKT-MFG",89.500000,59.500000,0.000000,top
"D46","LTST-C190KRKT","Lite-On-LTST-C190KRKT-MFG",97.500000,34.000000,0.000000,top
"D47","LTST-C190KGKT","Lite-On-LTST-C190KGKT-MFG",97.500000,31.000000,0.000000,top
